uid, ndata, decay, undecay, delete, restore, category_anon, category_reveal
1, 5, 13412, 16793, 13632, 18838, 2470, 8986
11, 8, 13054, 22788, 20540, 26560, 5139, 13423
21, 4, 7737, 15793, 11041, 16602, 2062, 8542
31, 5, 8845, 18055, 14058, 20858, 4197, 11249
41, 6, 10041, 18009, 14501, 20811, 3883, 11326
51, 5, 9163, 17874, 12920, 19798, 2195, 9136
61, 2, 6868, 13502, 9649, 14519, 2101, 8734
71, 3, 6677, 13418, 9309, 14883, 2084, 8731
81, 8, 11125, 20007, 16831, 24811, 4555, 12698
91, 4, 8486, 15815, 12585, 17101, 3502, 10981
101, 2, 5622, 11903, 7376, 12404, 3240, 11089
111, 5, 8040, 16358, 13050, 18606, 2064, 8958
121, 6, 9614, 17316, 12229, 19279, 2269, 8361
131, 9, 11093, 20473, 16265, 23043, 4470, 12282
141, 6, 9185, 17325, 12835, 19851, 3506, 10589
151, 1, 4953, 11197, 6521, 11744, 3377, 11134
161, 6, 10317, 20601, 16145, 23508, 3910, 11320
171, 1, 5580, 11837, 6697, 11942, 1824, 9130
181, 6, 10067, 19107, 13868, 20073, 3659, 11219
191, 7, 11877, 20345, 16826, 22210, 4048, 11435
201, 1, 5437, 11543, 7364, 12263, 3134, 11538
211, 7, 9760, 19040, 13636, 21347, 4722, 11904
221, 5, 9735, 16860, 11770, 18434, 4091, 12233
231, 5, 8822, 17075, 12000, 19186, 2314, 9226
241, 3, 7067, 14743, 8940, 15428, 3676, 12691
251, 3, 7480, 14799, 10679, 15793, 1950, 9205
261, 11, 13917, 25610, 21027, 30981, 5410, 16065
271, 4, 7637, 14695, 10152, 16458, 3346, 11000
281, 2, 5997, 12144, 7056, 14532, 2142, 8372
291, 4, 7285, 15589, 10500, 16469, 2259, 8692
301, 3, 7045, 14709, 11066, 15907, 2157, 8488
311, 5, 9010, 17383, 14011, 19185, 3335, 11870
321, 4, 8159, 15974, 11583, 19180, 3713, 13369
331, 3, 8549, 14513, 10558, 15804, 3463, 10824
341, 3, 6891, 14528, 10916, 16009, 3588, 11294
351, 2, 6199, 12751, 8943, 16704, 1891, 8806
361, 2, 5900, 11994, 7348, 12894, 3531, 10743
371, 5, 9661, 17926, 13299, 20409, 3448, 10330
381, 1, 5656, 11564, 8004, 11886, 1744, 8728
391, 5, 8263, 15812, 11347, 22602, 3514, 11171
401, 8, 11033, 20927, 16462, 24748, 4797, 13082
411, 0, 4092, 10007, 4701, 10317, 1498, 8978
421, 2, 5972, 12541, 7927, 13537, 2261, 8683
431, 6, 9290, 18245, 17932, 20740, 3614, 10954
441, 3, 10674, 15303, 11501, 17340, 1882, 8616
451, 3, 6503, 13510, 10086, 15094, 3470, 11351
461, 4, 7789, 14936, 10337, 15964, 2114, 8743
471, 7, 10213, 19985, 15380, 21815, 4564, 11150
481, 3, 7183, 14392, 10884, 16455, 2173, 8612
491, 5, 8909, 16533, 11886, 18651, 3523, 10601
501, 3, 6699, 13504, 8363, 15528, 2041, 8731
511, 4, 8556, 16604, 11660, 18262, 3364, 11155
521, 7, 9966, 19442, 15063, 21921, 4284, 10989
531, 4, 8169, 16028, 16708, 17838, 4164, 12386
541, 4, 10745, 14849, 10112, 16246, 1986, 8747
551, 4, 7505, 14848, 9804, 20221, 2322, 8967
561, 8, 11715, 22473, 18707, 25604, 3904, 10701
571, 7, 10402, 19997, 15214, 30770, 2267, 8880
581, 8, 11400, 21325, 15962, 23768, 2359, 8515
591, 7, 9385, 18085, 13213, 19870, 2217, 8885
601, 6, 10949, 20935, 16248, 21455, 4002, 10650
611, 5, 8584, 16240, 16321, 18445, 3569, 10700
621, 5, 13588, 19299, 15783, 21363, 2455, 8548
631, 4, 8150, 15915, 14841, 17187, 4245, 13817
641, 5, 12689, 17445, 14354, 18705, 3456, 10543
651, 5, 8712, 16936, 12226, 18826, 3849, 10805
661, 4, 8191, 15900, 11828, 18414, 2180, 8767
671, 8, 10914, 27228, 15845, 23511, 3923, 10496
681, 2, 7361, 13120, 8674, 16336, 1932, 8972
691, 1, 6826, 11186, 6103, 11454, 1816, 9230
701, 1, 5465, 11948, 8043, 11970, 2040, 8845
711, 5, 9005, 16681, 12597, 19249, 3582, 10831
721, 3, 6687, 15908, 9359, 14673, 3344, 11392
731, 3, 6907, 13840, 10283, 15462, 3220, 13105
741, 3, 6852, 19314, 8836, 14738, 2018, 8933
751, 4, 8821, 18025, 13529, 18868, 2133, 8646
761, 6, 11060, 19572, 15675, 21462, 3375, 11001
771, 2, 6175, 13357, 8548, 13718, 1976, 8591
781, 8, 11633, 21543, 16837, 24189, 4853, 11210
791, 4, 7739, 15123, 15060, 16864, 2118, 8869
801, 5, 12711, 17048, 13022, 26953, 3607, 10717
811, 4, 8164, 15904, 12558, 17462, 3556, 11182
821, 4, 8061, 18736, 11266, 16865, 3964, 10702
831, 3, 7242, 14563, 14877, 16721, 2192, 8515
841, 2, 9420, 13647, 9644, 17744, 1812, 8670
851, 3, 6918, 14221, 9766, 14876, 2015, 8619
861, 5, 8277, 16883, 11331, 17894, 4153, 11805
871, 4, 8374, 16051, 13036, 21217, 3438, 10903
881, 4, 7963, 16302, 11305, 16920, 3795, 10809
891, 5, 9265, 18720, 15120, 20930, 3679, 10641
901, 2, 6829, 13282, 9036, 14139, 2018, 8624
911, 5, 8628, 17093, 12427, 18705, 4085, 11425
921, 7, 10799, 20779, 23000, 23350, 4415, 13003
931, 2, 8205, 12368, 7659, 13153, 2052, 8604
941, 7, 10148, 27447, 15363, 22818, 4108, 11844
951, 12, 13811, 25327, 22186, 31484, 4359, 11155
961, 9, 13150, 23996, 19243, 26256, 4779, 12109
971, 4, 7612, 14833, 14491, 16245, 3550, 10560
981, 6, 12638, 17600, 13338, 20404, 2078, 8906
991, 7, 10447, 19221, 15530, 25463, 2517, 8640
1001, 5, 10213, 18313, 20113, 21444, 3653, 10913
1011, 6, 11121, 24401, 14765, 21428, 2106, 8610
1021, 1, 5582, 11511, 7281, 12754, 1861, 8539
1031, 7, 10366, 19525, 16667, 21562, 3671, 10397
1041, 1, 5013, 11087, 6432, 10997, 1754, 8799
1051, 6, 9133, 18579, 14651, 20802, 4188, 13234
1061, 5, 7867, 16374, 11936, 18685, 4008, 12437
1071, 11, 13063, 32739, 18716, 28219, 2419, 8641
1081, 7, 9233, 18272, 12808, 20816, 3488, 11096
