create_edna, read_story, read_frontpage
992, 178221, 150309
530, 152070, 3745
478, 1721, 3375
424, 1558, 3393
441, 1871, 3826
460, 1730, 3914
366, 1797, 3680
439, 2144, 3422
434, 1719, 3362
483, 1486, 3384
333, 1467, 3638
380, 1449, 3530
347, 1424, 3481
360, 1452, 3469
362, 1438, 3402
428, 1374, 3443
330, 1474, 3417
445, 1549, 3392
419, 1582, 3288
407, 1613, 3510
364, 1504, 3432
373, 1441, 3461
384, 1509, 3437
361, 1517, 3308
471, 1464, 3601
441, 1607, 3482
363, 1444, 3536
443, 1532, 3484
449, 1563, 3488
421, 1582, 3453
365, 1646, 3575
458, 1696, 3382
404, 1675, 3900
488, 1723, 3556
488, 1484, 3414
431, 1566, 3467
463, 1644, 3496
418, 1588, 3505
419, 1638, 3294
340, 1577, 3367
470, 1595, 3327
391, 1651, 3424
391, 1549, 3450
361, 1661, 3650
424, 1940, 3641
481, 1590, 3387
420, 1545, 3633
522, 1613, 3597
443, 1953, 3554
410, 1684, 3666
426, 1588, 3462
287, 1411, 3582
428, 1562, 3599
321, 1539, 3581
411, 1455, 3523
422, 1534, 3621
360, 1615, 3524
444, 1622, 3491
388, 1693, 3428
414, 1600, 3673
340, 1506, 3562
412, 1612, 3586
433, 1726, 3555
261, 1447, 3415
392, 1482, 3456
512, 1657, 3491
422, 1799, 3514
396, 1826, 3582
404, 1594, 3628
366, 1562, 3613
441, 1637, 3489
424, 1474, 3612
457, 1556, 3368
267, 1587, 3535
386, 1618, 3318
437, 1593, 3305
432, 1506, 3412
381, 1625, 3359
372, 1494, 3413
397, 1490, 3437
446, 1532, 3440
451, 1463, 3480
430, 1456, 3488
255, 1531, 3542
394, 1411, 3671
414, 1500, 3470
447, 1693, 3840
364, 1746, 3626
380, 1754, 3468
407, 1595, 3439
351, 1741, 3455
421, 1451, 3590
350, 1426, 3630
276, 1471, 3463
365, 1518, 3630
393, 1608, 3456
364, 1623, 3476
371, 1639, 3541
388, 1672, 3484
417, 1682, 3500
384, 1425, 3484
452, 1615, 3658
349, 1488, 3616
254, 1358, 3520
371, 1537, 3528
443, 1499, 3535
354, 1629, 3420
385, 1683, 3467
402, 1574, 3573
383, 1623, 3463
408, 1586, 3490
407, 1402, 3478
445, 1665, 3584
268, 1455, 3540
402, 1397, 3475
409, 1744, 3463
393, 1527, 3297
394, 1564, 3459
373, 1824, 3240
399, 1591, 3565
380, 1645, 3395
438, 1581, 3590
380, 1466, 3463
300, 1530, 3459
353, 1476, 3572
459, 1636, 3632
454, 1673, 3464
456, 1671, 3529
462, 1721, 3613
369, 1531, 3557
389, 1557, 3621
373, 1683, 3600
449, 1686, 3711
272, 1532, 3675
358, 1542, 3395
360, 1644, 3544
430, 1666, 3431
417, 1630, 3692
390, 1527, 3448
383, 1624, 3599
436, 1752, 3600
402, 1509, 3543
342, 1534, 3707
312, 1575, 3421
412, 1584, 3599
399, 1754, 3548
380, 1779, 3424
405, 1515, 3459
377, 1659, 3664
392, 1669, 3654
428, 1629, 3567
401, 1787, 3612
351, 1649, 3367
287, 1615, 3673
363, 1583, 3546
393, 1576, 3663
452, 1528, 3560
441, 1450, 3496
432, 1558, 3542
378, 1400, 3515
429, 1524, 3565
384, 1628, 3422
365, 1587, 3615
277, 1733, 3421
399, 1685, 3546
392, 1536, 3593
492, 1728, 3713
402, 1867, 3661
449, 1883, 3487
355, 1752, 3449
369, 1710, 3332
405, 1964, 4013
490, 1627, 3704
320, 1624, 3613
