uid, ndata, decay, undecay, delete, restore, category_anon, category_reveal
1, 5, 8040, 5876, 8008, 6591, 1452, 61
11, 8, 6812, 10173, 11012, 12675, 2772, 2308
21, 4, 4629, 4600, 6940, 5248, 1334, 66
31, 5, 5198, 6049, 7774, 7576, 1970, 914
41, 6, 5422, 6377, 8280, 6858, 1864, 959
51, 5, 5297, 6092, 7736, 6448, 1167, 64
61, 2, 3770, 2801, 5002, 3342, 1155, 57
71, 3, 3398, 3195, 5508, 3838, 1293, 60
81, 8, 6238, 7295, 9661, 10764, 2247, 1929
91, 4, 4523, 4652, 7117, 5890, 1893, 888
101, 2, 3305, 2183, 4665, 2167, 1686, 1093
111, 5, 4752, 5425, 6856, 6599, 1250, 67
121, 6, 5264, 5230, 7072, 7435, 1223, 57
131, 9, 6387, 8275, 9148, 10806, 2307, 1404
141, 6, 5233, 5993, 7253, 7508, 1929, 887
151, 1, 2875, 1372, 4156, 1389, 1524, 877
161, 6, 5848, 6886, 8933, 9892, 1874, 952
171, 1, 2947, 1261, 3839, 1564, 1020, 63
181, 6, 5269, 5811, 6964, 8051, 1730, 990
191, 7, 5327, 7964, 9080, 9864, 2296, 1654
201, 1, 3183, 1581, 4239, 1795, 1573, 866
211, 7, 5460, 7052, 7791, 8713, 2084, 1472
221, 5, 4637, 4391, 6625, 5165, 1827, 1910
231, 5, 4740, 5381, 5997, 6642, 1346, 68
241, 3, 3575, 3108, 5341, 4335, 1730, 1664
251, 3, 4131, 3365, 5512, 4873, 980, 65
261, 11, 6883, 12306, 11451, 12849, 2954, 3680
271, 4, 4261, 3653, 5869, 5111, 1822, 975
281, 2, 3233, 1860, 4345, 2469, 1050, 59
291, 4, 4327, 4282, 5241, 5267, 1238, 59
301, 3, 3726, 3532, 6081, 4208, 1055, 58
311, 5, 5120, 6035, 7331, 6611, 1835, 975
321, 4, 4219, 4435, 6299, 6266, 1929, 1487
331, 3, 3505, 3614, 5256, 3770, 1756, 992
341, 3, 4087, 3561, 5177, 4872, 1779, 868
351, 2, 3156, 2270, 4594, 2562, 1152, 61
361, 2, 2871, 1885, 4329, 2273, 1647, 872
371, 5, 5094, 6093, 7602, 6597, 1948, 821
381, 1, 3159, 1745, 4871, 1809, 980, 65
391, 5, 4744, 5072, 6077, 5416, 1796, 965
401, 8, 5517, 7612, 9152, 10798, 2551, 2362
411, 0, 2327, 571, 3012, 518, 1018, 65
421, 2, 3477, 2202, 4746, 2500, 1093, 63
431, 6, 5221, 6512, 6924, 8059, 1708, 909
441, 3, 3937, 4253, 5891, 5151, 1201, 56
451, 3, 3517, 3587, 5836, 4258, 1707, 973
461, 4, 4302, 4334, 5853, 4537, 1263, 62
471, 7, 5813, 7493, 8431, 7940, 1966, 986
481, 3, 4361, 3933, 6213, 4837, 1218, 68
491, 5, 4921, 4626, 7002, 6486, 1787, 878
501, 3, 3776, 3178, 4570, 3322, 1202, 60
511, 4, 4086, 5032, 6521, 6121, 1660, 872
521, 7, 5546, 7289, 8682, 9057, 1925, 885
531, 4, 4700, 4426, 6115, 6209, 1922, 1597
541, 4, 3860, 3777, 5600, 5178, 1329, 70
551, 4, 3675, 4251, 5927, 4388, 1206, 63
561, 8, 6748, 9828, 10853, 10457, 2006, 966
571, 7, 5888, 7941, 8812, 8362, 1462, 67
581, 8, 6228, 8698, 9089, 9050, 1528, 64
591, 7, 5382, 6928, 7756, 7556, 1327, 62
601, 6, 4871, 7251, 8747, 8948, 1843, 1000
611, 5, 4901, 4540, 6927, 6577, 1634, 951
621, 5, 5600, 7071, 8665, 7586, 1360, 64
631, 4, 4563, 4661, 6661, 5696, 2230, 2378
641, 5, 4942, 4867, 7887, 7150, 1853, 865
651, 5, 4998, 4843, 7297, 6003, 1886, 1096
661, 4, 4654, 4308, 6016, 6111, 1198, 60
671, 8, 5509, 8614, 9117, 9162, 1891, 901
681, 2, 3798, 2792, 5272, 3404, 1126, 64
691, 1, 2907, 1358, 3907, 1417, 955, 55
701, 1, 3141, 1624, 4870, 1815, 1023, 67
711, 5, 5001, 5776, 6386, 6185, 1822, 965
721, 3, 3512, 3213, 5378, 3791, 1681, 1110
731, 3, 4004, 3083, 5283, 4252, 1752, 1109
741, 3, 3804, 3213, 5262, 3820, 1217, 63
751, 4, 5086, 5074, 7482, 5916, 1231, 62
761, 6, 5602, 7233, 8846, 8895, 1836, 875
771, 2, 3721, 2829, 5059, 3423, 1112, 63
781, 8, 6377, 7459, 8466, 9621, 2137, 1603
791, 4, 4138, 4048, 6570, 4873, 1188, 60
801, 5, 5055, 6099, 7533, 6631, 1791, 969
811, 4, 4499, 4600, 6348, 5690, 1864, 944
821, 4, 3948, 4151, 6544, 4775, 1724, 1093
831, 3, 4321, 4229, 5929, 5164, 1124, 69
841, 2, 3376, 3179, 5037, 3373, 1110, 61
