4448,5023,4908,4585,4337,4352,4187,4200,4253,4073,4092,4080,4070,4050,4102,4086,4112,4041,4045,4509,4064,4069,4060,4056,4047,4049,4515,4085,4094,4054,4040,4057,4063,4075,4683,4068,4073,4083,4099,4040,4085,4043,4064,4086,4111,4038,4061,4053,4129,4082,4072,4070,4620,4078,4052,4136,4030,4071,4063,4993,4089,4093,4071,4081,4091,4543,4082,4113,4543,4064,4082,4114,4659,4052,4079,4043,4096,4060,4072,4037,4073,4044,4065,4065,4081,4069,4035,4547,4049,4058,4109,4084,4059,4495,4082,4057,4041,4070,4060,4100,4601,4078,4045,4057,4523,4555,4537,4076,4119,4064,4564,4195,4113,4060,4079,4073,4558,4046,4054,4058,4524,4073,4072,4067,4070,4069,4083,4530,4086,4045,4049,4106,4055,4492,4052,4128,4037,4067,4039,4082,4082,4059,4067,4067,4616,4057,4504,4105,4074,4528,4062,4061,4038,4035,4539,4062,4495,4081,4046,4055,4078,4053,4074,4071,4077,4038,4722,4233,4072,4068,4059,4042,4052,4480,4061,4085,4566,4077,4100,4050,4034,4069,4061,4061,4021,4047,4074,4107,4558,4101,4469,4053,4522,4059,4062,4470,4044,4040,4032,4469,4072,4053,4054,4562,4058,4066,4060,4090,4060,4056,4054,4078,4066,4077,4473,4027,4087,4039,4465,4053,4027,4574,4043,4258,4073,4563,4062,4065,4082,4072,4035,4598,4068,4035,4063,4032,4499,4537,4015,4061,4046,4036,4044,4075,4073,4019,4085,4075,4554,4057,4514,4091,4110,4090,4569,4064,4074,4059,4041,4040,4042,4057,4061,4892,4084,4114,4050,4052,4080,4064,4051,4045,4120,4112,4068,4082,4074,4094,4042,4544,4496,4055,4050,4053,4036,4036,4051,4219,4226,4405,4212,4124,4084,4175,4075,4639,4075,4088,4052,4076,4078,4039,4051,4131,4014,4021,4410,4096,4027,4392,4104,4033,4052,4158,4061,4007,4137,4066,4022,4064,4101,4018,4033,4687,4064,4484,4117,4149,4036,4086,4095,4033,4023,4619,4054,4517,4131,4071,4025,4050,4566,4056,4029,4147,4050,4051,4415,4092,4004,4076,4105,4031,4028,4614,4049,4034,4104,4103,4031,4067,4101,4062,4047,4121,4024,4016,4110,4075,4575,4055,4103,4583,4023,4143,4047,4039,4088,4072,4044,4062,4271,4083,4566,4126,4041,4053,4124,4110,4018,4075,4093,4530,4055,4150,4065,4031,4097,4157,4049,4084,4612,4039,4471,4118,4068,4025,4127,4179,4124,4104,4102,4074,4062,4069,4083,4098,4095,4093,4563,4065,4111,4062,4079,4074,4093,4067,4078,4090,4068,4059,4093,4056,4523,4073,4606,4540,4538,4105,4543,4050,4530,4065,4065,4075,4093,4071,4164,4469,4562,4603,4149,4108,4101,4090,4103,4042,4142,4100,4042,4105,4585,4079,4102,4118,4058,4057,4105,4082,4081,4107,4141,4083,4069,4105,4087,4060,4179,4082,4522,4080,4105,4102,4081,4112,4050,4026,4119,4084,4089,4119,4070,4047,4067,4699,4081,4085,4140,4101,4496,4113,4095,4065,4584,4077,4065,4067,4092,4079,4525,4047,4143,4074,4500,4119,4070,4093,4105,4088,4519,4079,4574,4054,4046,4091,4517,4072,4641,4112,4050,4087,4077,4068,4102,4109,4034,4056,4109,4625,4059,4106,4119,4054,4064,4086,4070,4107,4601,4514,4034,4107,4072,4073,4072,4095,4066,4041,4606,4107,4091,4117,4127,4076,4077,4079,4027,4075,4150,4106,4071,4089,4085,4060,4570,4122,4093,4041,4111,4077,4048,4061,4101,4084,4529,4082,4066,4065,4114,4098,4077,4114,4090,4090,4039,4138,4491,4043,4131,4073,4051,4070,4081,4046,4564,4113,4085,4039,4114,4510,4077,4083,4121,4516,4073,4113,4082,4028,4083,4098,4045,4079,4112,4072,4055,4136,4584,4071,4136,4111,4036,4048,4099,4497,4065,4107,4110,4048,4103,4529,4059,4067,4069,4486,4044,4082,4066,4075,4128,4105,4049,4420,4729,4360,4181,4149,4111,4295,4126,4025,4043,4110,4062,4063,4083,4041,4050,4038,4664,4029,4062,4114,4042,4037,4090,4561,4055,4058,4594,4082,4534,4111,4589,4080,4074,4041,4030,4043,4124,4039,4579,4160,4024,4033,4413,4058,4044,4005,4160,4519,4054,4096,4010,4048,4052,4523,4051,4007,4141,4061,4000,4092,4063,4023,4119,4047,4029,4013,5020,4046,4071,4094,4525,4067,4118,4044,4025,4037,4100,4029,4009,4082,4513,4476,4438,4042,4014,4117,4123,4045,4030,4073,4028,4547,4072,4548,4068,4042,4104,4559,4142,4133,4040,4099,4073,4064,4088,4061,4159,4095,4135,4100,4030,4159,4092,4521,4076,4185,4126,4045,4087,4081,4047,4302,4093,4138,4066,4097,4132,4032,4153,4096,4052,4124,4090,4054,4097,4137,4108,4051,4139,4081,4031,4165,4094,4046,4074,4104,4126,4015,4073,4108,4050,4109,4098,4060,4059,4110,4131,4050,4144,4097,4055,4115,4085,4071,4058,4092,4125,4020,4151,4067,4062,4094,4118,4078,4068,4107,4114,4061,4131,4183,4074,4157,5033,4012,4041,4596,4105,4015,4078,4051,4007,4111,4075,4069,4051,4089,4101,6757,17092,4659,4254,4198,4091,4083,4062,4068,4116,4075,4086,4097,4026,4085,4035,4006,4081,4070,4140,4729,4605,4076,4021,4306,4067,4010,4598,4083,4088,3996,4057,4091,4599,4128,4073,4566,4085,4066,4111,4060,4104,4624,4043,4072,4104,3999,4038,4846,4114,4032,4106,4054,4027,4062,4066,4025,4052,4059,4096,3998,4106,4088,4046,4061,4042,4056,4077,4068,4097,4026,4988,4103,3989,4267,4058,4020,4388,4121,4127,3996,4545,4060,4015,4422,4087,4025,4411,4019,4088,4052,4571,4773,4002,4438,4059,4033,4349,4037,4051,4015,4794,4472,4090,4281,4044,4013,4385,3986,4108,3986,4652,4206,4063,4418,4113,4070,4308,4077,4185,3983,4580,4435,4034,4446,4083,4102,4369,4080,4193,4019,4814,4196,4049,4460,4058,4066,4280,4022,4137,4007,4597,4544,4310,4502,4603,4145,4342,4071,4181,4014,4588,4084,4111,4460,4076,4105,4342,4027,4187,4199,4661,5152,4078,4480,4120,4138,4358,4070,4100,4003,4578,4085,4007,4468,4040,4100,4340,4043,4077,3987,4500,4076,3990,4410,4084,4042,5121,4053,4076,3989,4562,4254,4032,4445,4024,4063,4331,4016,4156,4089,4530,4268,4040,4409,4052,4047,4317,4050,4117,4028,4464,4338,4797,4448,4057,4066,4343,4017,4138,4567,4655,4065,4052,4490,4520,4323,4478,4320,4197,4026,4649,4185,7950,4230,4094,4070,4369,4011,4134,4000,4678,4078,4016,4458,4027,4068,4311,4106,4119,4025,4702,4474,4098,5157,4068,4073,4273,4023,4106,4009,4559,4194,4125,4630,4282,4157,4362,4061,4205,4058,4578,4113,4089,4390,4516,4115,4351,16858,4265,4078,4714,4138,4138,4515,4112,4064,4359,4118,4086,4032,4674,4090,4040,4420,4069,4100,4321,4843,4094,4029,4630,4069,4011,4244,4115,4076,4333,4125,4127,3992,4734,4374,4089,6821,4566,4130,4298,4113,4240,4019,4627,4479,4135,4459,4604,4100,4339,4237,4228,4052,4619,4503,4123,4518,4453,4181,4327,4061,4116,3994,4726,5330,4069,4490,4461,4328,4365,4108,4175,4053,4515,4412,4095,4504,4581,4109,4309,4059,4184,4032,4514,4490,4120,4416,4297,4325,4326,4191,4398,4013,4681,4398,4048,4421,4573,4116,4353,4134,4208,4030,4524,4111,4121,4469,4502,4931,4334,4135,4378,4014,4644,4353,4156,4481,4552,4134,4395,4113,4184,4004,4374,4393,4078,4471,4539,4140,4333,4137,4221,4006,4729,4494,4080,4488,4409,4122,4343,4243,4199,4101,4559,4475,4294,4549,4645,4118,4350,4090,4257,4023,4700,4434,4108,4500,4463,4098,4337,4108,4197,4067,4623,5374,4056,4324,4167,4073,4048,4178,4264,4034,4475,4408,4058,4459,4557,4171,4297,4097,4393,4021,4566,4110,4078,4502,4551,4161,4297,4104,4194,3999,4609,4529,4237,4478,4598,4092,4357,4112,4165,4008,4648,4479,4081,4514,4461,4133,4534,4161,4278,4216,4651,4460,4215,4509,4217,4145,4943,4085,4132,3993,4608,4596,6125,4431,4375,4248,4411,4129,4125,4023,4507,4103,4041,4450,4122,4086,4375,4057,4249,4060,4712,4106,4059,4478,4117,4147,4377,4088,4068,3983,4632,4099,4034,4229,4221,4094,4418,4107,4078,4090,5158,4129,4059,4636,4121,4121,4387,4081,4087,4049,4525,4097,4063,4454,4092,4053,4641,4084,4074,4038,4588,4044,4060,5184,4095,4095,4314,4080,4047,4038,4381,4013,4496,4432,4096,4502,4346,4122,4109,4039,4614,4041,4065,4425,4150,4059,4361,4100,4188,4075,4980,4030,4056,4395,4053,4086,4367,4092,4089,4047,4614,4099,4053,4446,4081,4038,4408,4056,4067,4026,4647,4057,4084,4428,4063,4046,4356,4062,4051,4050,4987,4029,4048,4435,4106,4045,4359,4074,4104,3995,4485,4397,4063,4391,4105,4084,4363,4068,4068,3977,5340,4053,4049,4457,4064,4477,4369,4086,4048,4038,4505,4071,4074,4394,4200,4037,4362,4067,4074,3997,4597,4085,4048,4454,4071,4046,4389,4087,4079,4044,4641,4064,4477,4431,4110,4131,4297,4150,4090,4069,4467,4045,4052,4501,4454,4042,4358,4101,4072,4528,4385,4050,4046,4452,4071,4051,4389,4105,4067,4027,4530,4060,4509,4434,4061,4067,4348,4082,4050,4046,4608,4033,4041,4448,4554,4048,4356,5378,4072,4036,4535,4123,4096,4425,4066,4047,4812,4111,4088,4044,4295,4093,4084,4421,4073,4069,4409,4088,4060,4068,4626,4062,4033,4416,4083,4037,4332,4078,4054,4042,4329,4040,4070,4426,4083,4072,4253,4070,4047,4087,4942,4078,4079,4413,4059,4055,4364,4544,4060,4040,4359,4042,4041,4480,4074,4096,4409,4103,4059,4057,4544,4014,4060,4415,4050,4034,4352,4073,4059,4096,4611,4036,4034,4315,4081,4059,4383,4053,4053,4046,4709,4015,4055,4551,4080,4017,5288,4119,4053,4015,4563,4049,4085,4608,4066,4491,4379,4112,4086,4460,4583,4033,4038,4418,4054,4054,4373,4129,4103,4055,4957,4043,4049,4434,4571,4057,4360,4102,4053,4014,4995,4047,4074,4422,4062,4528,4399,4106,4112,4018,4616,4042,4026,4173,4084,4116,4390,4107,4070,4142,4783,4180,4156,4493,4042,4083,4382,4046,4040,4045,4493,4063,4049,4433,4006,4072,4333,4058,4006,4091,4506,4031,4071,4399,4026,4066,4389,4071,4014,4005,4624,4031,4077,4442,4021,4068,4356,4041,3971,3982,4723,4341,4042,4431,4030,4072,5276,4043,4097,4033,4533,4043,4077,4414,4020,4126,4329,4061,4090,4009,4676,4007,4069,4412,4001,4119,4382,3992,4058,3973,4573,4041,4050,4482,4000,4062,4356,4050,4008,4039,4713,4031,4050,6099,4043,4139,4389,4160,4074,4067,4602,4086,4101,4427,4068,4116,4335,4039,4007,4026,4623,4030,4057,4437,3982,4286,4338,4031,4048,4019,4730,4027,4072,4499,4045,4167,4261,4067,4017,4001,4569,4031,4037,4424,3987,4046,4322,4030,4090,4032,4634,4042,4068,4429,4121,4088,4316,4014,3992,3998,4655,4411,4149,4455,3991,4088,4317,4050,4062,4011,4518,4064,4058,4443,4007,4054,4350,4922,4039,4067,4611,4040,4079,4420,4065,4049,4343,3987,4073,4007,4755,4051,4085,4279,3986,4288,4337,4010,4018,4039,4725,4008,4035,4419,4027,4058,4364,3998,4025,4016,4627,4063,4081,4435,3991,4043,4320,3988,4382,4011,4593,4011,4103,4390,4024,4071,4323,4028,4028,4003,4678,4007,4038,4439,4005,4088,4309,4011,4043,4018,4614,4026,4052,4421,4045,4075,4325,4013,4012,3996,4510,4003,4037,4415,3992,4057,4380,4039,3995,4006,4629,4326,4026,4440,4039,4100,4288,4000,4038,3984,4581,4001,4034,4399,4020,4068,4324,3998,4378,4053,4536,4019,4054,4203,4043,4088,4363,4026,4110,3976,4637,4067,4318,4658,4283,4131,4411,4163,4449,5156,4509,4052,4042,4431,3995,4076,4451,4028,4032,4002,4583,4077
170131529

139386,134511,134580,134254,133830,134622,134905,118751,117880,118103,121978,134340,140442,137710,134334,133878,133518,133165,133174,132746
1443,1186,1166,1164,1440,1166,1173,1144,1155,1144,1134,1142,1138,1153,1132,1154,1140,1149,1153,1117,1124,1140,1146,1173,1147,1124,1143,1154,1171,1145,1139,1151,1129,1119,1119,1158,1139,1142,1123,1114,1157,1144,1136,1156,1145,1141,1141,1145,1138,1145,1143,1132,1138,1170,1152,1122,1153,1138,1125,1125,1121,1110,1130,1157,1129,1143,1133,1142,1126,1157,1139,1148,1111,1137,1161,1151,1157,1162,1156,1137,1151,1156,1147,1157,1135,1140,1144,1148,1143,1142,1122,1132,1127,1151,1135,1164,1137,1152,1145,1128,1122,1116,1125,1125,1142,1152,1161,1151,1150,1130,1136,1136,1145,1137,1126,1131,1136,1151,1156,1108,1129,1155,1156,1161,1155,1150,1165,1140,1138,1121,1123,1133,1129,1137,1132,1129,1154,1150,1135,1152,1145,1138,1139,1139,1111,1117,1144,1145,1171,1144,1147,1156,1153,1142,1149,1144,1137,1124,1160,1148,1138,1158,1117,1133,1140,1140,1136,1139,1138,1145,1148,1157,1143,1143,1137,1150,1157,1150,1141,1132,1138,1140,1141,1165,1161,1153,1148,1154,1136,1142,1133,1148,1137,1153,1143,1157,1132,1145,1149,1160
25754,19231,18203,17618,65403,17043,16321,16573,17866,50181,15675,16076,16313,16370,17845,16268,15619,16149,17100,18087,16298,15997,15957,17366,19086,15562,16158,15967,16922,18976,15692,15387,17085,16566,18926,16533,16069,16289,17088,18300,16946,16826,16218,16002,18788,15761,15644,15811,15936,17822,16576,16663,16515,16399,17448,15602,16853,17410,17133,18651,16668,15997,15663,15989,18134,16854,15702,16165,15972,18998,16107,16934,16401,16440,18113,16739,16837,15975,16799,18101,16335,16032,16246,16275,17835,16496,15664,16256,15501,18035,16560,16480,16443,16052,18083,16719,16408,15835,16179,18656,15820,16321,15776,15627,18972,16628,16899,16643,16418,17571,16193,16995,16327,16426,18972,16800,16711,16844,16824,20211,17503,17064,17188,16393,18625,17137,16383,16708,16096,17892,17662,16360,16462,16135,17720,16611,16539,17332,16000,17471,17453,15999,17272,16344,18218,16846,17032,17781,17578,18624,17095,16423,17109,15510,17648,16620,16581,17325,15934,18852,16697,16454,17751,15726,18792,17051,17283,16132,16168,18240,16777,17241,17336,16674,18392,17091,17606,17748,16075,17427,16236,16282,15983,16175,17904,17035,15925,16593,16128,17248,16622,16139,16648,15585,17931,16647,16589,16500,16714,17130
83287,68041,63340,63790,69198,66007,65978,64324,64019,64680,66517,63894,63947,65160,65873,63887,67575,66642,66538,68683,73346,65693,65601,67147,63049,67284,65471,67910,66239,65790,65543,66760,63732,66249,66391,66425,63543,65568,65658,73397,65576,67422,65748,67724,66785,66158,64726,64158,64288,66558,66061,65700,66213,65836,64879,66162,66571,72241,67042,64760,66466,68012,63078,67575,63099,66993,66265,67621,65638,64177,65698,64104,64871,73471,65184,64943,64626,65912,64954,66848,66821,64169,63157,66630,62533,66944,64956,72886,64051,66590,64110,65543,66335,64867,63111,63815,64989,64376,64545,63268,65367,66190,62465,67064,69365,67247,62218,68601,63501,64128,65558,63560,62213,63325,62306,64656,61791,64387,63994,65166,62842,71740,63428,65147,63966,65196,63326,67661,63540,66263,64413,64698,63428,65952,63239,64853,64323,65674,64777,72842,62910,65392,62342,66128,61332,66659,62698,63512,64258,66151,63468,66406,63683,63311,65142,63512,62967,69803,63306,65745,61899,65036,62318,66077,63024,65819,63573,66687,62999,67041,63424,66299,63767,64545,62338,70451,62180,64595,63834,65613,65633,67267,63871,63883,62468,63571,61325,66255,63970,66946,63320,63235,62750,62914,67758,63125,60774,62430,61223,64475
86510,85058,84231,88815,84386,84992,84819,84130,84034,84432,86014,86372,84771,91261,87313,87051,89293,89201,89154,88594,88681,88067,89324,93542,89104,88167,88627,89131,85931,85425,85532,85290,85813,90976,87751,89321,87005,85537,87921,90460,88827,89958,89925,93789,89489,89669,92152,89976,90138,90170,88838,89417,89839,95645,87360,90502,86762,87567,89259,88377,88417,86353,85695,90784,85835,85817,85999,86867,86836,86641,87262,89850,88212,90611,85821,85689,85972,86015,86658,86631,86446,86817,87355,91679,87067,86776,86821,86672,86423,86621,86771,86428,86987,92963,87205,87531,86461,87350,87785,88046,86720,86819,86943,92092,87020,86817,86723,86677,86565,87200,92963,92921,93014,98025,89426,92109,92533,88979,89342,89671,86669,89350,90642,94929,89500,87844,89807,88779,87970,88780,90680,91291,88195,93903,90960,91401,87223,86382,86618,86619,86746,86609,87268,92051,86551,87569,88696,86519,88507,88418,89272,87127,87543,94448,87354,88333,90034,88516,88494,88255,90475,90255,87722,95082,90858,88049,88330,90508,92025,93158,92318,92371,90374,98961,93853,94424,94954,91773,89658,91923,94040,94518,92989,96245,93596,91793,91076,95385,91767,92439,92377,92612,93181,96939,92735,94174,92674,93491,94379,94224
1938,1644,1651,1695,1847,1677,1673,1657,1619,1644,1621,1613,1611,1639,1594,1622,1620,1704,1623,1623,1630,1646,1630,1637,1610,1592,1627,1620,1638,1645,1611,1626,1606,1733,1628,1707,1621,1628,1611,1588,1656,1617,1636,1628,1596,1621,1653,1687,1642,1621,1674,1616,1618,1646,1631,1662,1606,1605,1592,1638,1610,1592,1607,1624,1589,1620,1610,1619,1646,1610,1653,1619,1615,1656,1681,1616,1644,1676,1629,1613,1632,1597,1631,1595,1604,1727,1657,1632,1622,1648,1630,1618,1666,1603,1580,1633,1600,1611,1627,1623,1669,1623,1642,1623,1627,1643,1640,1634,1631,1600,1617,1613,1628,1659,1607,1677,1615,1636,1620,1612,1675,1631,1691,1644,1619,1626,1640,1616,1641,1600,1640,1620,1631,1629,1635,1618,1615,1652,1654,1634,1610,1622,1603,1635,1585,1648,1618,1650,1623,1636,1621,1635,1687,1636,1602,1621,1592,1606,1642,1634,1594,1624,1640,1660,1634,1644,1630,1587,1627,1622,1632,1666,1662,1630,1630,1626,1627,1627,1623,1659,1642,1622,1638,1698,1688,1655,1716,1628,1597,1620,1631,1616,1616,1622,1598,1630,1643,1642,1626,1641
23689,23604,23236,23031,23294,23180,23058,23180,22984,22998,26128,26040,22177,21698,21968,23146,22055,22447,21983,22317,22683,21819,21911,22937,21970,21769,22352,22265,21914,22195,22164,22845,24022,22024,22463,22343,21918,22234,22128,22572,21998,22075,22959,21915,22144,22285,21789,22787,22183,22124,22725,22288,22089,22269,22307,22783,22050,22019,22708,21989,21933,22531,22070,22614,22371,22921,22333,21995,22230,22280,22545,22216,22584,22378,22976,25711,22277,22097,21782,22722,22475,22073,21986,22425,21839,21967,21796,22337,21397,22226,22308,22192,21593,21830,21591,22480,23897,22234,22078,21553,21925,21355,21333,21563,22179,21087,21568,22519,20954,21200,21310,21719,21481,21364,22278,21352,21130,22239,21596,21455,21383,21176,21877,21510,21930,22024,22027,21519,21727,21372,22092,21607,21400,21355,21109,21168,21685,21270,21685,25170,21188,22384,21621,20977,21744,21075,21540,21503,20999,21750,21307,22000,21593,20844,21096,21788,21698,21425,21305,21161,23690,21589,21276,21785,21469,20788,21663,21667,21226,21249,21538,21948,20846,21242,21892,21895,21240,22847,21833,20784,20983,20681,21606,20988,21084,21504,21706,21047,21136,21222,21497,20670,20508,21733,21535,21214,22139,21485,21863,20890
67206,70306,69409,64572,69807,70149,64698,69878,65494,69379,64971,69939,69615,64509,69409,69647,64641,71805,63400,65113,63795,70093,69851,64865,68556,69403,64897,69327,64905,69406,64518,69805,69497,64928,64791,69455,64547,70564,65743,67752,69390,68247,67776,63018,63143,62960,63268,63309,63769,63823,63143,63719,63275,63622,63842,63279,63286,63361,63859,63336,63004,64212,64869,63437,63351,62907,64057,63314,63320,63116,63324,63144,63010,63041,63629,63131,63378,63373,63284,62930,63146,62895,63729,63161,63283,63474,62968,63236,63163,63282,63141,63535,63309,63178,63597,63429,63411,63793,63081,63401,62973,63116,62981,63560,63615,63251,63385,63181,63052,63249,63309,63349,63766,63376,63234,63231,63529,63442,63796,63790,63258,63221,65717,65512,64257,72369,64015,64917,64693,66695,66021,69941,69449,69340,65652,69095,66059,69705,65800,65515,66162,70815,69420,69879,65831,68982,66235,69903,66768,65087,66376,71589,69478,69896,66322,70831,66716,69741,66695,65062,66304,71486,69559,69728,66781,69655,68493,72644,65548,67332,65163,64814,72488,72813,64949,69653,66730,69483,66656,66353,66512,66642,69693,70421,66947,68690,69623,69720,69400,69525,69958,69751,69351,69316,69218,69511,69331,70540,69268,69823
16129131,14373532,15963176
434945,493330
3236,2394,2436,2413,36036,2385,2395,2425,2449,2379,2353,2352,2370,2349,2387,2354,2355,2377,2377,2360,2362,2348,2385,2379,2369,2334,2371,2806,2410,2379,2321,2324,2364,2388,2365,2385,2351,2386,2394,2352,2337,2327,2374,2396,2390,2339,2325,2841,2401,2399,2351,2338,2379,2391,2365,2289,2321,2396,2371,2419,2346,2336,2386,2405,2382,2329,2328,2402,2358,2405,2361,2351,2393,2345,2422,2323,2375,2812,2414,2357,2359,2304,2397,2380,2400,2858,2334,2350,2361,2397,2363,2360,2397,2410,2356,2336,2305,2376,2397,2418,2353,2372,2384,2388,2393,2335,2376,2405,2418,2394,2353,2373,2407,2387,2417,2365,2347,2363,2362,2396,2322,2341,2824,2398,2360,2348,2356,2391,2420,2400,2342,2356,2878,2395,2378,2372,2316,2384,2371,2369,2355,2331,2412,2366,2374,2328,2348,2434,2379,2426,2343,2365,2865,2385,2380,2343,2830,2422,2370,2369,2340,2332,2402,2403,2393,2344,2357,2389,2381,2838,2336,2314,2403,2396,2377,2365,2348,2402,2402,2379,2329,2345,2400,2410,2340,2337,2366,2397,2356,2401,2340,2851,2393,2415,2880,2319,2334,2864,2380,2847
713,717,682,683,743,699,704,671,688,670,691,698,672,700,662,700,700,678,664,677,698,700,671,678,675,698,703,677,676,681,720,704,678,675,703,709,698,677,671,673,698,707,684,684,671,698,700,674,668,678,702,702,662,673,672,701,706,680,674,665,701,706,667,673,670,700,707,671,669,679,696,701,672,667,683,701,703,668,670,678,708,702,674,672,671,694,704,675,667,667,695,695,673,672,667,700,696,676,665,676,746,712,679,682,681,704,733,678,692,685,708,703,671,685,681,697,709,683,682,677,697,706,676,674,681,711,701,678,674,680,707,703,676,677,671,709,702,676,674,677,706,706,676,669,680,713,700,676,677,680,709,730,678,669,676,702,700,686,677,679,706,701,673,689,673,703,701,680,675,677,702,703,684,683,677,713,711,683,686,680,702,704,679,672,675,703,703,678,673,682,704,706,677,679,673,704,702,677,676,680
